aggrandize                  增加；提高
anathema                  宗教形式的诅咒
austere                   朴素的；严肃的
balloon                      迅速增加
belie              证明为假；掩饰；与⋯⋯相矛盾
burgeon                      迅速长大
chary                       非常谨慎的
check                    阻止；一致、同意
clarity                        清晰
comprehend                  理解；包括
conscientious                仔细的；正直的
contradict              否认；与⋯⋯相矛盾
convoluted                    复杂的
deft                          灵巧的
deify                 奉为神；崇敬；过分喜爱
denounce                     公开指责
deride                         嘲弄
dilettante           业余爱好者缺乏专业技术的
divulge                    泄露（秘密）
downplay                     轻描淡写
ebullient                   热情奔放的
epitomize               摘要；是⋯⋯的典范
exploit               英雄行为；最大程度利用
fathom                    彻底理解；测量
gibe                           嘲弄
hamper                  阻碍；有盖的大篮子
harsh                     粗糙的；严厉的
ingenuous                 天真的；坦白的
knotty                    多结的；困难的
lionize                        追捧
malleable              a 可塑的；易控制的
meticulous                a.极为谨慎的
mint                          nan
orthodox                  正统的；传统的
penchant                 强烈的嗜好，迷恋
robust                精力充沛的；强壮健康的
shopworn                      陈旧的
strident                      刺耳的
substantiate                证实；使实体化
transitory                    短暂的
􏰁􏰂􏰃􏰄􏰅anachronistic   Not found ! - 􏰁􏰂􏰃􏰄􏰅anachronistic
