                   Not found ! - 
                   Not found ! - 
abeyance                       中止
abstract                  作总结；使分心
abstract                  作总结；使分心
abstruse                    难以理解的
abundant                      大量的
accessible         可达到的；可理解的；能获得的
acknowledge                     承认
acute                敏锐的；急性的；程度深的
adversity                    厄运逆境
alloy                   合金 混合物；掺杂
altruism                     利他主义
ambiguous       含糊的、不确定的；有多种理解方式的
annachronistic   Not found ! - annachronistic
anomalous                     反常的
antipath     Not found ! - antipath
apparition                   幽灵鬼魂
apprehensionn   Not found ! - apprehensionn
arable                      适合耕种的
argument                 争吵；论证；观点
assess                    评估；征收费用
authority               权威；影响力；理由
axiomatic               公理的；不言自明的
banal                         陈腐的
belie              证明为假；掩饰；与⋯⋯相矛盾
bound            界限；给…设置障碍；投入的坚定的
brittle                  易碎的；不真诚的
callous                    冷漠的；无情
callous                    冷漠的；无情
caustic                   腐蚀的；刻薄的
cellular                      多孔的
censure                   公开反对、谴责
cherished                     珍爱的
circumscribe                  限制；包围
clarity                        清晰
commensurate              同样大小的；相称的
compelling             极具说服力的；迫切的
compose                  使镇定；组成构成
compromise                 妥协；使危险
compromise                 妥协；使危险
conducive                 有益的；促进的
confident                     自信的
connoisseur                 鉴赏家；专家
consent                     同意；赞同
conspicuous                  显而易见的
construct                      建造
contempt                       蔑视
contradict              否认；与⋯⋯相矛盾
convenience                     便利
convenience                     便利
convey                    运输；传递交流
conviction                确信；证明有罪
correlate                  使⋯⋯相关联
corroborate            用证据或权威证实；支持
credit                      信任；表扬
credit                      信任；表扬
cryptic          秘密的；含义模糊的；超出理解力的
debacle                        溃败
decipher                    破译；理解
deleterious                    有害的
demonstrate                     证明
denude                         脱去
derivative                   非原创的
dichotomy                 一分为二，分割
discomfit                     使尴尬
disinterested              公正的；不感兴趣的
dispassionate                  客观公正的
dispassionate                  客观公正的
dispatch             迅速；派遣；使死亡；胜过
disregard                 漠视；缺乏兴趣
disregard                 漠视；缺乏兴趣
diversity                     多样性
doctrinaire                  教条主义的
donor                         捐赠人
dramatic                      显著的
dubious                 怀疑的；不愿行动的
eclectic                     多元化的
efficacious                    有效的
endorse                      公开支持
enthusiasm                     激情
enthusiasm                     激情
equivalent                    等价的
exonerate                    免除责备
explicit                表达清晰的；成熟的
exquisite               精致的；程度强烈的
facilitate                 使容易；促进
feign                        制造假象
flaw                           瑕疵
flourish                    繁荣；装饰
forestall                    预先阻止
forfeit                        罚金
forthright                    直率的
fortify                 增强；做好心理准备
fraudulent                    欺诈的
frivolous                轻率的；不重要的
gainsay                     否认；反对
hasten                         促进
heretical                     异端的
hoard         Not found ! - hoard
hubris       Not found ! - hubris
hyperbole                      欺骗
imitation                  模仿；仿制品
imperial             帝王的；巨大的令人惊叹的
imperious          专横的；爱发号施令的；迫切的
implicit           不言而喻的；无疑问的无保留的
impromptu                即席的；即席表演
imprudent                    不明智的
