acrimonious                    刻薄的
avant-garde   Not found ! - avant-garde
avid                    急切渴望的；贪财的
barrage               弹幕；有压倒之势的倾泻
bewilderment   Not found ! - bewilderment
cache                     囤货藏货；隐藏
calcify                       使僵化
condemn                        谴责
contradict              否认；与⋯⋯相矛盾
daunt                          吓到
decry                          否定
demur                       反对；犹豫
dispassionate                  客观公正的
distort                        扭曲
exuberant         非常高兴的；生机勃勃的；大量的
figurative                    比喻的
gargantuan                    巨大的
gullible                     易受骗的
gullible                     易受骗的
impugn                         责难
inundate                       淹没
lurid                 恐怖的；面色惨白病态的
momentous                    极重要的
obligatory       强制性的；（见得多以至于）无聊的
obstinate            固执的；难以减轻或治愈的
obstreperous              难以驾驭的；吵闹的
ossify                      僵化；骨化
peripheral               外围的；辅助性的
plausible                  看似有道理的
proscribe                   禁止；排斥
provoke                     激怒；驱使
rhetorical    语言文字上的；辞藻华丽的（往往无内涵）
safeguard                 保护措施；保护
skirt                       回避；边界
slippery           光滑的；隐秘的；意义不明确的
spur                   刺激；刺激物；支撑物
squander                   浪费；使分散
vignette                    简介、短文
