                   Not found ! - 
abundant                      大量的
aloof                         孤高的
ambiguous       含糊的、不确定的；有多种理解方式的
aphorism                     格言警句
belligerence                  好斗 好战
blight                      枯萎；损坏
clarity                        清晰
clement                 仁慈的；气候温和的
conspicuous                  显而易见的
convoluted                    复杂的
deliberate                  深思熟虑的
derivative                   非原创的
diaphanous              模糊的；几乎透明的
dilettante           业余爱好者缺乏专业技术的
disparate                   迥然不同的
epitomize               摘要；是⋯⋯的典范
evoke                          唤起
exonerate                    免除责备
flamboyant                  艳丽夺目的
forthright                    直率的
gaudy                         俗丽的
iconoclast                 特立独行的人
imperturbable                  沉着冷静的
incentive                   刺激，诱因
indigenous              本地的；与生俱来的
inept               愚笨的；不恰当的；不称职的
inimical             不友好的有敌意的；不利的
judicious                     明智的
justify                   证明⋯⋯合理性
maverick     n 特立独行的人；a 非常规的，标新立异的
meager                      a 贫乏的
meticulous                a.极为谨慎的
negotiate                   谈判；谋划
paraphrase               意译，转述，改写
pellucid                透明的；清晰易懂的
perfidy                      背信弃义
placate                      平息抚慰
preeminent                优秀的，重要的
punctilious                     包袱
quotidian                 平凡的；每日的
refute                 驳斥，证明为假；否认
scant                         不足的
shrewd                    精明的；强烈的
solitude                       孤独
supercilious                    高傲的
uncanny                       离奇的
vague               表达不清楚的、轮廓不清晰的
variegated                杂色的 斑驳的
viable                        可行的
