aberrant                      异常的
abeyance                       中止
accessible         可达到的；可理解的；能获得的
accidental               意外的；不重要的
accomplish                   完成实现
acerbic                       尖酸的
anonymous                匿名的；无特色的
boon                   恩惠；喜欢集体行动的
brisk                    有活力的；刻薄的
carve                     雕刻；开创开拓
chagrin                      沮丧懊恼
clandestine                    隐藏的
collaborate                     合作
conceal                        隐藏
consummate      专业的有造诣的；完美的；最高档次的
conundrum                       谜
corrosive                腐蚀的；讽刺性的
cryptic          秘密的；含义模糊的；超出理解力的
discompose                 使不安使混乱
distinctive              完全不同的；典型的
elevate                    提升；使兴奋
enigma                          迷
ensconce                    安置；隐藏
favorable                 有利的；赞许的
forestall                    预先阻止
gregarious               爱社交的；群居的
harsh                     粗糙的；严厉的
histrionic                戏剧的；演员的
humble       Not found ! - humble
imperious          专横的；爱发号施令的；迫切的
influx                         涌入
insensitive            缺乏机智圆滑的；麻木的
intelligible                   可理解的
inure              使习惯接受不好的东西；使坚强
irritate                     刺激惹恼
laconic               简洁的以至于显得粗鲁的
meditate     Not found ! - meditate
melodramatic            a 感情夸张的，伤感的
meticulous                a.极为谨慎的
mulish                        固执的
nonchalant                    冷漠的
obdurate                固执的；冷酷无情的
orthodox                  正统的；传统的
perfunctory              敷衍的；不感兴趣的
persistence                     坚持
presumptuous                放肆的；傲慢的
prophetic                 预言的；预示的
revive                  恢复意识；再获新生
ruminate                       沉思
serendipity         意外发现珍奇事物的本领，缘分
sinecure                       美差
stealth                  秘密行动；秘密的
stolid                      无动于衷的
stymie                         阻碍
submissive                服从的；恭顺的
surreptitious                  偷偷摸摸的
surreptitious                  偷偷摸摸的
terse                         简洁的
theatrical                做作的；夸张的
torpid               麻木的；迟钝的行动迟缓的
tractable                 易驾驭的温顺的
voluble                       健谈的
voluptuous                  奢侈淫乐的
