acclaim                        称赞
ameliorate                     改善
amicable                      友善的
appall                        使惊恐
belie              证明为假；掩饰；与⋯⋯相矛盾
calculated                  深思熟虑的
caprice              一时冲动的决定；反复无常
censure                   公开反对、谴责
compelling             极具说服力的；迫切的
compliant                     顺从的
congenial                     友善的
connoisseur                 鉴赏家；专家
cosmopolitan                 有世界眼光的
derivative                   非原创的
digress                      脱离主题
disregard                 漠视；缺乏兴趣
downplay                     轻描淡写
duplicate               复制；重复；复制品
dynamic                      有活力的
erratic          缺乏连续性的；善变的；不同寻常的
eschew                      躲避；戒绝
esoteric             深奥难懂的；少数人知道的
exacerbate                    使恶化
fickle                   易变的；不忠诚的
harbinger                     预言者
herald                      告知；预示
innovative   Not found ! - innovative
insipid                 平淡的；清淡无味的
insular                     孤立狭隘的
integrity                   正直；完整
intransigent                   不妥协的
lenient                     宽大仁慈的
lethargic                   没精打采的
lurid                 恐怖的；面色惨白病态的
mercurial              a. （情绪）善变的
minimize                      nan
moratorium                延期、暂缓施行
officious                   多管闲事的
plebeian                      平民的
presumptuous                放肆的；傲慢的
proliferate                快速繁殖；激增
provincial                    狭隘的
recondite                     深奥的
replicate                   复制；重复
resolute                      坚定的
respite                     休息，间歇
scour                     用力擦洗；搜查
submissive                服从的；恭顺的
vapid                         无趣的
vulnerable              易受攻击的、脆弱的
