abate                       减轻；减少
abstruse                    难以理解的
advocate                       支持
aggressive               好斗的；强有力的
alleviate                      缓和
arcane                  晦涩的；深奥难懂的
bromide                      陈词滥调
cameo               栩栩如生地描绘或刻画；客串
compound               混合物；复合的；混合
conserve                       保存
debacle                        溃败
discursive                  杂乱散漫的
disparate                   迥然不同的
enmity                         敌意
exhort                       力劝督促
foil                           挫败
ingenuity                     独创性
lampoon                        讽刺
menace                      vt 威胁
myopic                      缺乏远见的
occult           隐藏的；难以理解的；使隐藏或神秘
palpable                 摸得到的；明显的
pillory                      当中嘲弄
pioneer            先驱者 拓荒者；最初的；开创
platitude              陈词滥调；缺乏原创性
postulate               假定为真；前提条件
predilection                     爱好
prerequisite                先决条件、前提
recondite                     深奥的
redundant                     多余的
revere                         尊敬
sage                           智者
savant                       博学之士
secrete                     隐藏；分泌
summon                    召集；传唤出庭
superfluous                    多余的
trespass                非法侵入；违反冒犯
venerate                       尊敬
vignette                    简介、短文
vivacious                     活泼的
